lat1,lon1,lat2,lon2,weight,type
40.862803,-73.901034,40.867760,-73.897174,0.639667,MST
40.862803,-73.901034,40.856093,-73.900741,0.746525,New_Connection
40.862803,-73.901034,40.858407,-73.903879,0.544226,MST
40.862803,-73.901034,40.861296,-73.897749,0.323103,MST
40.741303,-73.989344,40.745494,-73.988691,0.469254,New_Connection
40.741303,-73.989344,40.739864,-73.986599,0.281223,MST
40.745494,-73.988691,40.744081,-73.995657,0.607513,New_Connection
40.745494,-73.988691,40.743070,-73.984264,0.460155,New_Connection
40.745494,-73.988691,40.746081,-73.982076,0.561075,New_Connection
40.745494,-73.988691,40.749719,-73.987823,0.475455,New_Connection
40.745494,-73.988691,40.749567,-73.987950,0.457178,New_Connection
40.745494,-73.988691,40.747215,-73.993365,0.437788,MST
40.837288,-73.887734,40.829993,-73.891865,0.882485,MST
40.837288,-73.887734,40.840295,-73.880049,0.727846,MST
40.837288,-73.887734,40.826525,-73.886283,1.203001,New_Connection
40.742454,-73.882017,40.737015,-73.877223,0.727257,MST
40.742454,-73.882017,40.747659,-73.883697,0.595823,MST
40.742454,-73.882017,40.733106,-73.869229,1.497098,New_Connection
40.742454,-73.882017,40.748408,-73.876613,0.803473,New_Connection
40.742454,-73.882017,40.746848,-73.891394,0.928845,New_Connection
40.708359,-73.957757,40.706870,-73.953431,0.400472,MST
40.708359,-73.957757,40.706092,-73.950308,0.676599,New_Connection
40.708359,-73.957757,40.717304,-73.956872,0.997432,New_Connection
40.845900,-73.910136,40.844434,-73.914685,0.415922,MST
40.845900,-73.910136,40.850410,-73.905227,0.649605,New_Connection
40.845900,-73.910136,40.848480,-73.911794,0.318985,MST
40.845900,-73.910136,40.840075,-73.917791,0.913335,New_Connection
40.762862,-73.981637,40.763972,-73.977450,0.373607,New_Connection
40.762862,-73.981637,40.764664,-73.980658,0.216674,MST
40.762862,-73.981637,40.761728,-73.983849,0.224960,MST
40.762862,-73.981637,40.762456,-73.985984,0.368883,New_Connection
40.864621,-73.918822,40.868072,-73.919899,0.394276,MST
40.864621,-73.918822,40.869444,-73.915279,0.613491,New_Connection
40.864621,-73.918822,40.865491,-73.927271,0.717044,New_Connection
40.864621,-73.918822,40.860531,-73.925536,0.724995,New_Connection
40.648939,-74.010006,40.655144,-74.003549,0.879075,MST
40.648939,-74.010006,40.641362,-74.017881,1.072983,New_Connection
40.648939,-74.010006,40.645069,-74.014034,0.548330,MST
40.799446,-73.968379,40.803967,-73.966847,0.518988,MST
40.799446,-73.968379,40.796092,-73.961454,0.692020,MST
40.799446,-73.968379,40.793919,-73.972323,0.698516,New_Connection
40.704817,-74.014065,40.702068,-74.013664,0.307538,New_Connection
40.704817,-74.014065,40.707220,-74.013342,0.274063,MST
40.704817,-74.014065,40.707513,-74.013783,0.300722,New_Connection
40.704817,-74.014065,40.703087,-74.012994,0.212499,MST
40.704817,-74.014065,40.706476,-74.011056,0.313629,New_Connection
40.640927,-73.963891,40.644031,-73.964492,0.348854,MST
40.640927,-73.963891,40.635082,-73.962793,0.656505,MST
40.640927,-73.963891,40.650527,-73.962982,1.070223,New_Connection
40.785672,-73.951070,40.779492,-73.955589,0.785487,New_Connection
40.785672,-73.951070,40.790600,-73.947478,0.625875,MST
40.785672,-73.951070,40.784318,-73.947152,0.362603,MST
40.745906,-73.998041,40.744081,-73.995657,0.285511,MST
40.745906,-73.998041,40.747215,-73.993365,0.419946,New_Connection
40.683263,-73.965838,40.688873,-73.960070,0.790990,New_Connection
40.683263,-73.965838,40.688089,-73.966839,0.543224,MST
40.683263,-73.965838,40.686113,-73.973946,0.753545,New_Connection
40.683263,-73.965838,40.680596,-73.955827,0.894739,New_Connection
40.672097,-73.835919,40.680429,-73.843853,1.142815,New_Connection
40.672097,-73.835919,40.668234,-73.834058,0.457323,MST
40.672097,-73.835919,40.681711,-73.837683,1.079328,MST
40.672097,-73.835919,40.684331,-73.832163,1.396746,New_Connection
40.672097,-73.835919,40.660476,-73.830301,1.376334,New_Connection
40.613501,-74.000610,40.619589,-73.998864,0.692811,MST
40.613501,-74.000610,40.604556,-73.998168,1.015776,New_Connection
40.613501,-74.000610,40.607954,-74.001736,0.624079,MST
40.722301,-73.997141,40.718803,-74.000193,0.466310,MST
40.722301,-73.997141,40.724329,-73.997702,0.230406,MST
40.722301,-73.997141,40.725915,-73.994659,0.453031,New_Connection
40.722301,-73.997141,40.720280,-73.993915,0.352722,MST
40.722301,-73.997141,40.725297,-73.996204,0.342370,New_Connection
40.779492,-73.955589,40.773620,-73.959874,0.745997,MST
40.779492,-73.955589,40.784318,-73.947152,0.890277,New_Connection
40.669367,-73.901975,40.675345,-73.903097,0.671424,MST
40.669367,-73.901975,40.663515,-73.902447,0.651929,New_Connection
40.669367,-73.901975,40.664038,-73.900571,0.604274,MST
40.719527,-74.001775,40.720824,-74.005229,0.324855,MST
40.719527,-74.001775,40.722854,-74.006277,0.529910,New_Connection
40.719527,-74.001775,40.718803,-74.000193,0.155746,MST
40.719527,-74.001775,40.718383,-74.000460,0.168711,New_Connection
40.857192,-73.867615,40.854364,-73.860495,0.676361,MST
40.857192,-73.867615,40.848828,-73.868457,0.932727,New_Connection
40.857192,-73.867615,40.858985,-73.855359,1.049838,New_Connection
40.857192,-73.867615,40.865462,-73.867352,0.919848,MST
40.844434,-73.914685,40.848480,-73.911794,0.511410,New_Connection
40.844434,-73.914685,40.839306,-73.913400,0.580363,New_Connection
40.844434,-73.914685,40.840075,-73.917791,0.550635,MST
40.803967,-73.966847,40.800603,-73.958161,0.821245,New_Connection
40.803967,-73.966847,40.807722,-73.964110,0.476870,MST
40.775036,-73.912034,40.766779,-73.921479,1.214739,New_Connection
40.775036,-73.912034,40.770258,-73.917843,0.722187,MST
40.583591,-74.103338,40.588849,-74.096090,0.846428,MST
40.583591,-74.103338,40.596612,-74.087368,1.978580,New_Connection
40.583591,-74.103338,40.573480,-74.117210,1.623749,New_Connection
40.583591,-74.103338,40.578965,-74.109704,0.744058,MST
40.608944,-73.973022,40.603923,-73.980353,0.833497,New_Connection
40.608944,-73.973022,40.615140,-73.974197,0.696066,MST
40.608944,-73.973022,40.611815,-73.981848,0.810553,New_Connection
40.608944,-73.973022,40.608670,-73.957734,1.290911,New_Connection
40.608944,-73.973022,40.603217,-73.972361,0.639253,MST
40.830135,-73.938209,40.834041,-73.944890,0.710345,New_Connection
40.830135,-73.938209,40.836013,-73.939892,0.668765,New_Connection
40.830135,-73.938209,40.830518,-73.941514,0.281310,MST
40.830135,-73.938209,40.824783,-73.944216,0.780779,New_Connection
40.718611,-73.988114,40.718315,-73.987437,0.065869,MST
40.718611,-73.988114,40.718267,-73.993753,0.476777,MST
40.718611,-73.988114,40.713715,-73.990173,0.571399,New_Connection
40.718611,-73.988114,40.720280,-73.993915,0.522925,New_Connection
40.744081,-73.995657,40.741040,-73.997871,0.386176,MST
40.744081,-73.995657,40.747215,-73.993365,0.398401,MST
40.679947,-73.884639,40.678024,-73.891688,0.631713,MST
40.679947,-73.884639,40.674130,-73.880750,0.725213,MST
40.679947,-73.884639,40.683194,-73.873785,0.983893,New_Connection
40.679947,-73.884639,40.672710,-73.890358,0.938174,New_Connection
40.679947,-73.884639,40.681410,-73.880039,0.420627,MST
40.746554,-73.943832,40.748973,-73.937243,0.616799,New_Connection
40.746554,-73.943832,40.747023,-73.945264,0.131424,MST
40.746554,-73.943832,40.747846,-73.946000,0.232367,New_Connection
40.746554,-73.943832,40.744065,-73.949724,0.568307,New_Connection
40.746554,-73.943832,40.750582,-73.940202,0.542323,MST
40.778453,-73.981970,40.783934,-73.979917,0.633499,MST
40.778453,-73.981970,40.773440,-73.982209,0.557783,MST
40.778453,-73.981970,40.775594,-73.976410,0.565904,New_Connection
40.804138,-73.937594,40.798629,-73.941617,0.699937,MST
